continent,year,population
Africa,1990,0
Africa,1991,5434
Africa,1992,16232
Africa,1993,48970
Africa,1994,112387
Africa,1995,324226
Africa,1996,451060
Africa,1997,905601
Africa,1998,1703531
Africa,1999,2901046
Africa,2000,4528437
Africa,2001,6143986
Africa,2002,9760557
Africa,2003,13583664
Africa,2004,26331356
Africa,2005,33022913
Africa,2006,40728234
Africa,2007,52232859
Africa,2008,61663151
Africa,2009,73776525
Africa,2010,95786792
Africa,2011,114002144
Africa,2012,136996780
Africa,2013,163564665
Africa,2014,196090388
Africa,2015,233756129
Africa,2016,270623010
Africa,2017,315830314
Africa,2018,358062725
Africa,2019,405332496
Africa,2020,451617356
Asia,1990,40687
Asia,1991,93535
Asia,1992,247731
Asia,1993,763635
Asia,1994,1489801
Asia,1995,3260653
Asia,1996,8197243
Asia,1997,17670153
Asia,1998,30690361
Asia,1999,62646469
Asia,2000,108432227
Asia,2001,149729595
Asia,2002,212798705
Asia,2003,255222388
Asia,2004,309201711
Asia,2005,355153006
Asia,2006,412809079
Asia,2007,538535956
Asia,2008,659909947
Asia,2009,780240284
Asia,2010,940345597
Asia,2011,1069029958
Asia,2012,1177297653
Asia,2013,1289763369
Asia,2014,1405035284
Asia,2015,1522234131
Asia,2016,1672804533
Asia,2017,1795604552
Asia,2018,1954712671
Asia,2019,2225536873
Asia,2020,2557593407
Europe,1990,399647
Europe,1991,851729
Europe,1992,1516045
Europe,1993,2349541
Europe,1994,4395044
Europe,1995,8317883
Europe,1996,15143350
Europe,1997,27566810
Europe,1998,44974450
Europe,1999,76721973
Europe,2000,109142637
Europe,2001,135554289
Europe,2002,187717112
Europe,2003,227613243
Europe,2004,262643830
Europe,2005,288630793
Europe,2006,314333658
Europe,2007,356222108
Europe,2008,391405230
Europe,2009,428031713
Europe,2010,459473148
Europe,2011,481876924
Europe,2012,510133822
Europe,2013,527976665
Europe,2014,544819364
Europe,2015,549731594
Europe,2016,565997261
Europe,2017,581458292
Europe,2018,603394464
Europe,2019,620265429
Europe,2020,632245905
North America,1990,2046626
North America,1991,3090832
North America,1992,4674145
North America,1993,6245523
North America,1994,13494936
North America,1995,25896301
North America,1996,46471992
North America,1997,64240918
North America,1998,92305573
North America,1999,113888012
North America,2000,144214970
North America,2001,168489598
North America,2002,205262123
North America,2003,218597042
North America,2004,232873932
North America,2005,250868733
North America,2006,260383632
North America,2007,284394197
North America,2008,288458533
North America,2009,290247644
North America,2010,302162765
North America,2011,309258710
North America,2012,334195707
North America,2013,334419270
North America,2014,346671429
North America,2015,375180404
North America,2016,422534219
North America,2017,442613008
North America,2018,456311802
North America,2019,469786837
North America,2020,480339051
South America,1990,0
South America,1991,5042
South America,1992,29285
South America,1993,71126
South America,1994,153591
South America,1995,375674
South America,1996,1224751
South America,1997,2148695
South America,1998,4452498
South America,1999,7754970
South America,2000,13423270
South America,2001,20014585
South America,2002,30998288
South America,2003,42486544
South America,2004,57758161
South America,2005,66535946
South America,2006,86801127
South America,2007,102058802
South America,2008,116296676
South America,2009,136924654
South America,2010,152951887
South America,2011,172773136
South America,2012,191478786
South America,2013,205482784
South America,2014,219680891
South America,2015,237260929
South America,2016,251815574
South America,2017,274599579
South America,2018,269943405
South America,2019,285002066
South America,2020,313033045
World,1990,2617438
World,1991,4280727
World,1992,6885825
World,1993,9978025
World,1994,20372971
World,1995,39137572
World,1996,77094037
World,1997,120463190
World,1998,187786430
World,1999,280906271
World,2000,414012675
World,2001,502048980
World,2002,664525411
World,2003,780605617
World,2004,912780834
World,2005,1029379295
World,2006,1160582058
World,2007,1372292168
World,2008,1572943471
World,2009,1770692408
World,2010,2021152970
World,2011,2218882121
World,2012,2426854827
World,2013,2598607664
World,2014,2793663749
World,2015,3004582521
World,2016,3256215846
World,2017,3483746104
World,2018,3795522333
World,2019,4194081858
World,2020,4699886462